job-id,job-title,job-listing-date,job-url,job-location-state,job-location-city,job-location-area,job-location-suburb,job-advertiser,job-advertiser-email,job-advertiser-phone,job-classification,job-sub-classification,job-citizenship-required
51436258,Senior Data Analyst,2021-02-02 05:10:37,https://www.seek.com.au/job/51436258,Victoria,Melbourne,,,Aurec Group,,,Information & Communication Technology,Database Development & Administration,Yes
51436101,Senior Data Analyst,2021-02-02 05:00:30,https://www.seek.com.au/job/51436101,Victoria,Melbourne,,,MTP Services,Yes,Yes,Information & Communication Technology,Database Development & Administration,
51421691,Senior Product Data Analyst - Marketing & Growth!,2021-02-01 01:31:19,https://www.seek.com.au/job/51421691,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Insights Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51412888,Senior Data Analyst,2021-01-29 05:36:11,https://www.seek.com.au/job/51412888,Queensland,Northern QLD,,townsville,Hays Recruitment,Yes,,Information & Communication Technology,Database Development & Administration,Yes
51408644,Senior Data Analyst,2021-01-29 01:43:19,https://www.seek.com.au/job/51408644,Australian Capital Territory,ACT,,canberra,Peoplebank,,Yes,Information & Communication Technology,Database Development & Administration,Yes
51406652,Senior Data Analyst,2021-01-28 23:45:34,https://www.seek.com.au/job/51406652,Australian Capital Territory,ACT,,,MTP Services,Yes,Yes,Information & Communication Technology,Database Development & Administration,
51385205,Senior Data Analyst,2021-01-26 21:38:06,https://www.seek.com.au/job/51385205,New South Wales,Sydney,,,Big Red Group,,,Information & Communication Technology,Business/Systems Analysts,
51371266,Senior Data Analyst - Solution Design,2021-01-22 06:54:01,https://www.seek.com.au/job/51371266,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,U&U Recruitment Partners,,Yes,Information & Communication Technology,Business/Systems Analysts,
51371173,Senior Data Analyst,2021-01-22 06:45:15,https://www.seek.com.au/job/51371173,Queensland,Brisbane,,,Perigon Group,Yes,,Information & Communication Technology,Database Development & Administration,
51368773,Senior Data Analyst Engineer (ETL / SQL / Power BI),2021-01-22 04:32:11,https://www.seek.com.au/job/51368773,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Anson Mccade,,,Information & Communication Technology,Database Development & Administration,
51346486,Senior Data Analyst,2021-01-20 03:08:00,https://www.seek.com.au/job/51346486,New South Wales,Sydney,,,Precision Sourcing,,,Science & Technology,Modelling & Simulation,
51322004,Senior Data Analyst,2021-01-18 01:42:22,https://www.seek.com.au/job/51322004,New South Wales,Sydney,Parramatta & Western Suburbs,,Paxus,,Yes,Information & Communication Technology,Other,
51549658,Data Analyst,2021-02-16 07:24:01,https://www.seek.com.au/job/51549658,Australian Capital Territory,ACT,,,Hudson,,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51547397,Technical BA / Data Analyst,2021-02-16 04:49:46,https://www.seek.com.au/job/51547397,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Hays Recruitment,,,Information & Communication Technology,Business/Systems Analysts,
51546093,Business/Data Analyst - junior to mid level,2021-02-16 03:43:08,https://www.seek.com.au/job/51546093,Victoria,Melbourne,Bayside & South Eastern Suburbs,narrewarren,Talent International,Yes,,Information & Communication Technology,Business/Systems Analysts,
51544962,Data Analyst,2021-02-16 02:45:39,https://www.seek.com.au/job/51544962,Western Australia,Perth,,,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544960,Data Analyst,2021-02-16 02:45:38,https://www.seek.com.au/job/51544960,Tasmania,Hobart,,,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544753,Data Analyst,2021-02-16 02:33:23,https://www.seek.com.au/job/51544753,Australian Capital Territory,ACT,,canberra,Capital Recruit,Yes,Yes,Government & Defence,Government - Federal,Yes
51544690,Data Analyst,2021-02-16 02:31:16,https://www.seek.com.au/job/51544690,Northern Territories,Darwin,,,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544688,Data Analyst,2021-02-16 02:31:16,https://www.seek.com.au/job/51544688,South Australia,Adelaide,,,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544687,Data Analyst,2021-02-16 02:31:16,https://www.seek.com.au/job/51544687,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544685,Data Analyst,2021-02-16 02:31:15,https://www.seek.com.au/job/51544685,Australian Capital Territory,ACT,,,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544686,Data Analyst,2021-02-16 02:31:15,https://www.seek.com.au/job/51544686,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51544674,Client Data Analyst,2021-02-16 02:30:53,https://www.seek.com.au/job/51544674,Victoria,Melbourne,,,Life Without Barriers,Yes,,Information & Communication Technology,Business/Systems Analysts,
51543674,Data Analyst,2021-02-16 01:30:55,https://www.seek.com.au/job/51543674,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Calleo,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51543062,Data Analyst,2021-02-16 00:55:17,https://www.seek.com.au/job/51543062,Queensland,Mackay & Coalfields,,moranbah,Incitec Pivot,,,Information & Communication Technology,Business/Systems Analysts,
51541065,Data Analyst - Reporting and Measurement,2021-02-15 23:03:05,https://www.seek.com.au/job/51541065,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Launch Recruitment,,Yes,Information & Communication Technology,Database Development & Administration,
51539688,Segmentation & Data Analyst,2021-02-15 20:24:47,https://www.seek.com.au/job/51539688,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Dulux Group,,,Information & Communication Technology,Database Development & Administration,
51539360,Data Analyst,2021-02-15 11:34:34,https://www.seek.com.au/job/51539360,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Clicks IT Recruitment,,Yes,Information & Communication Technology,Business/Systems Analysts,
51539213,Master Data Analyst,2021-02-15 10:16:46,https://www.seek.com.au/job/51539213,Victoria,Melbourne,Northern Suburbs,broadmeadows,South Pacific Laundry,,,Information & Communication Technology,Business/Systems Analysts,
51537690,APS3 / APS4 Data Analyst,2021-02-15 06:30:58,https://www.seek.com.au/job/51537690,Australian Capital Territory,ACT,,canberra,Karlka Recruiting Group,Yes,,Government & Defence,Government - Federal,Yes
51536007,Start your new career as a Data Analyst,2021-02-15 04:50:04,https://www.seek.com.au/job/51536007,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,The Data School Pty Ltd,,,Information & Communication Technology,Consultants,
51535977,"Data Analysts (APS5), 2021 Census of Population and Housing",2021-02-15 04:48:38,https://www.seek.com.au/job/51535977,Australian Capital Territory,ACT,,belconnen,Australian Bureau of Statistics,,,Government & Defence,Government - Federal,
51535976,"Data Analysts (APS5), 2021 Census of Population and Housing",2021-02-15 04:48:38,https://www.seek.com.au/job/51535976,Australian Capital Territory,ACT,,belconnen,Australian Bureau of Statistics,,,Government & Defence,Other,
51535948,Start your new career as a Data Analyst,2021-02-15 04:47:23,https://www.seek.com.au/job/51535948,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,The Data School Pty Ltd,,,Information & Communication Technology,Consultants,
51535748,"Data Analyst Team Leaders (APS6), 2021 Census of Population and Housing",2021-02-15 04:36:28,https://www.seek.com.au/job/51535748,Australian Capital Territory,ACT,,belconnen,Australian Bureau of Statistics,,,Government & Defence,Government - Federal,
51535747,"Data Analyst Team Leaders (APS6), 2021 Census of Population and Housing",2021-02-15 04:36:28,https://www.seek.com.au/job/51535747,Australian Capital Territory,ACT,,belconnen,Australian Bureau of Statistics,,,Government & Defence,Other,
51533551,Data Analyst - Marketing & CX,2021-02-15 02:40:30,https://www.seek.com.au/job/51533551,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",barangaroo,Nearmap Australia Pty Ltd,,,Information & Communication Technology,Business/Systems Analysts,
51533134,APS5/6 Data Analyst,2021-02-15 02:16:00,https://www.seek.com.au/job/51533134,Australian Capital Territory,ACT,,,Capital Recruit,Yes,Yes,Government & Defence,Government - Federal,Yes
51531903,"Principal Data Analyst, Data and Intelligence",2021-02-15 01:05:36,https://www.seek.com.au/job/51531903,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Department of Health & Human Services VIC,Yes,,Information & Communication Technology,Other,Yes
51531904,"Principal Data Analyst, Data and Intelligence",2021-02-15 01:05:36,https://www.seek.com.au/job/51531904,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Department of Health & Human Services VIC,Yes,,Government & Defence,Government - State,Yes
51531637,Data Analyst/Manager & Developer - Global Equities Fund Manager,2021-02-15 00:51:19,https://www.seek.com.au/job/51531637,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Ratio Group,,,Information & Communication Technology,Developers/Programmers,
51531627,Data Analyst,2021-02-15 00:50:31,https://www.seek.com.au/job/51531627,Australian Capital Territory,ACT,,canberra,Emanate Technology,,,Information & Communication Technology,Database Development & Administration,
51525549,Data Management Consultant,2021-02-12 08:36:16,https://www.seek.com.au/job/51525549,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Modis,Yes,Yes,Information & Communication Technology,Database Development & Administration,
51525236,Data Analyst,2021-02-12 07:38:04,https://www.seek.com.au/job/51525236,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Private Advertiser,,,Information & Communication Technology,Business/Systems Analysts,
51525067,2x Data Analyst - SQL,2021-02-12 07:15:30,https://www.seek.com.au/job/51525067,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Perigon Group,,,Information & Communication Technology,Other,
51524560,Data Analyst,2021-02-12 06:30:06,https://www.seek.com.au/job/51524560,Australian Capital Territory,ACT,,,GMT People,,Yes,Information & Communication Technology,Business/Systems Analysts,Yes
51523307,Business Analyst - Data Analyst,2021-02-12 05:15:23,https://www.seek.com.au/job/51523307,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Real Time Australia,,,Information & Communication Technology,Business/Systems Analysts,
51523121,Data Analyst,2021-02-12 05:05:33,https://www.seek.com.au/job/51523121,Australian Capital Territory,ACT,,,Peoplebank,,Yes,Information & Communication Technology,Consultants,Yes
51520349,Database Administrator/Data Analyst,2021-02-12 02:43:48,https://www.seek.com.au/job/51520349,South Australia,Adelaide,,torrensville,Drakes Supermarkets,,,Information & Communication Technology,Database Development & Administration,
51519359,Data Analyst - Customer Support,2021-02-12 01:32:55,https://www.seek.com.au/job/51519359,Victoria,Melbourne,Eastern Suburbs,mulgrave,GS1 Australia,,,Information & Communication Technology,Business/Systems Analysts,
51515374,Lead Data Analyst (Data Lineage) - Excellent Day Rate,2021-02-11 19:05:18,https://www.seek.com.au/job/51515374,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,The Recruitment Company,,Yes,Information & Communication Technology,Developers/Programmers,
51515336,Principal Data Analyst,2021-02-11 18:31:14,https://www.seek.com.au/job/51515336,South Australia,Adelaide,,,SA Health,,,Government & Defence,Government - State,
51515335,Principal Data Analyst,2021-02-11 18:31:14,https://www.seek.com.au/job/51515335,South Australia,Adelaide,,,SA Health,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51514784,Data Analyst,2021-02-11 09:01:18,https://www.seek.com.au/job/51514784,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Launch Recruitment,Yes,,Information & Communication Technology,Database Development & Administration,
51513779,Data Analyst,2021-02-11 06:30:01,https://www.seek.com.au/job/51513779,Queensland,Brisbane,,,U&U Recruitment Partners,,Yes,Information & Communication Technology,Business/Systems Analysts,
51513593,Data Analyst - Fuzzy Matching,2021-02-11 06:15:52,https://www.seek.com.au/job/51513593,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Perigon Group,,,Information & Communication Technology,Other,
51513290,Data Analyst,2021-02-11 05:58:23,https://www.seek.com.au/job/51513290,Victoria,Melbourne,,,Capgemini,,,Information & Communication Technology,Engineering - Software,
51512374,Data Analyst,2021-02-11 05:00:39,https://www.seek.com.au/job/51512374,New South Wales,Sydney,,,SustainAbility Consulting,,,Information & Communication Technology,Developers/Programmers,
